,Id,Elderly_ratio,Median_age,White_ratio,Black_ratio,Asian_ratio,Others_ratio,commute_up60min_ratio,Noschooling_ratio,Master_ratio,Spanish_lan_ratio,Europe_lan_ratio,Asian_lan_ratio,Other_lan_ratio,Median_income,Social_security_income_ratio,Unemplyed_ratio,Vacant_ratio,Householders,Hoseholders_Ratio,White_household_ratio,Black_household_ratio,Asian_household_ratio,Household_15_34_ratio,Household_35_64_ratio,Household_65over_ratio,gas_ratio,LPgas_ratio,Electricity_ratio,FuelOil_ratio,Coal_ratio,Wood_ratio,Solar_ratio,Otherfuel_ratio,Nofuelused_ratio,Median_contract_rent,Per_capita_income,BG,BBL,Full_Address,normalized_gap
53,1500000US360610008002,8.18,39.2,3.19,0.0,89.67,7.14,9.15,6.87,1.53,0.0,0.0,19.83,0.0,17069,3.95,8.81,15.95,469.0,32.52,2.77,0.0,27.08,13.02,71.52,15.45,30.28,5.76,12.79,44.35,0.0,0.0,0.0,0.0,6.82,897,19171.0,360610008002,1002777502.0,"46 HENRY STREET New York, NY 10002",-0.0625
54,1500000US360610008002,8.18,39.2,3.19,0.0,89.67,7.14,9.15,6.87,1.53,0.0,0.0,19.83,0.0,17069,3.95,8.81,15.95,469.0,32.52,2.77,0.0,27.08,13.02,71.52,15.45,30.28,5.76,12.79,44.35,0.0,0.0,0.0,0.0,6.82,897,19171.0,360610008002,1002770004.0,"81 MADISON STREET New York, NY 10002",0.1
55,1500000US360610008003,9.76,40.5,3.33,0.0,96.67,0.0,11.42,1.61,4.54,0.0,0.0,21.24,0.0,30089,4.36,5.05,15.67,495.0,28.42,3.23,0.0,25.25,8.69,69.49,21.82,45.66,8.48,8.89,36.97,0.0,0.0,0.0,0.0,0.0,804,11889.0,360610008003,1002760021.0,"55 MARKET STREET New York, NY 10002",-0.5
56,1500000US360610008003,9.76,40.5,3.33,0.0,96.67,0.0,11.42,1.61,4.54,0.0,0.0,21.24,0.0,30089,4.36,5.05,15.67,495.0,28.42,3.23,0.0,25.25,8.69,69.49,21.82,45.66,8.48,8.89,36.97,0.0,0.0,0.0,0.0,0.0,804,11889.0,360610008003,1002760032.0,"114 MADISON STREET New York, NY 10002",0.0
57,1500000US360610008003,9.76,40.5,3.33,0.0,96.67,0.0,11.42,1.61,4.54,0.0,0.0,21.24,0.0,30089,4.36,5.05,15.67,495.0,28.42,3.23,0.0,25.25,8.69,69.49,21.82,45.66,8.48,8.89,36.97,0.0,0.0,0.0,0.0,0.0,804,11889.0,360610008003,1002760006.0,"13 MONROE STREET New York, NY 10002",0.15
58,1500000US360610008003,9.76,40.5,3.33,0.0,96.67,0.0,11.42,1.61,4.54,0.0,0.0,21.24,0.0,30089,4.36,5.05,15.67,495.0,28.42,3.23,0.0,25.25,8.69,69.49,21.82,45.66,8.48,8.89,36.97,0.0,0.0,0.0,0.0,0.0,804,11889.0,360610008003,1002760056.0,"51 CATHERINE STREET New York, NY 10038",0.05
59,1500000US360610008003,9.76,40.5,3.33,0.0,96.67,0.0,11.42,1.61,4.54,0.0,0.0,21.24,0.0,30089,4.36,5.05,15.67,495.0,28.42,3.23,0.0,25.25,8.69,69.49,21.82,45.66,8.48,8.89,36.97,0.0,0.0,0.0,0.0,0.0,804,11889.0,360610008003,1002767503.0,"31 MONROE STREET New York, NY 10002",0.0
60,1500000US360610008003,9.76,40.5,3.33,0.0,96.67,0.0,11.42,1.61,4.54,0.0,0.0,21.24,0.0,30089,4.36,5.05,15.67,495.0,28.42,3.23,0.0,25.25,8.69,69.49,21.82,45.66,8.48,8.89,36.97,0.0,0.0,0.0,0.0,0.0,804,11889.0,360610008003,1002760040.0,"98 MADISON STREET New York, NY 10002",-0.0909090909091
61,1500000US360610008003,9.76,40.5,3.33,0.0,96.67,0.0,11.42,1.61,4.54,0.0,0.0,21.24,0.0,30089,4.36,5.05,15.67,495.0,28.42,3.23,0.0,25.25,8.69,69.49,21.82,45.66,8.48,8.89,36.97,0.0,0.0,0.0,0.0,0.0,804,11889.0,360610008003,1002760039.0,"100 MADISON STREET New York, NY 10002",-0.823529411765
62,1500000US360610008003,9.76,40.5,3.33,0.0,96.67,0.0,11.42,1.61,4.54,0.0,0.0,21.24,0.0,30089,4.36,5.05,15.67,495.0,28.42,3.23,0.0,25.25,8.69,69.49,21.82,45.66,8.48,8.89,36.97,0.0,0.0,0.0,0.0,0.0,804,11889.0,360610008003,1002760014.0,"27 MONROE STREET New York, NY 10002",-0.0322580645161
63,1500000US360610008003,9.76,40.5,3.33,0.0,96.67,0.0,11.42,1.61,4.54,0.0,0.0,21.24,0.0,30089,4.36,5.05,15.67,495.0,28.42,3.23,0.0,25.25,8.69,69.49,21.82,45.66,8.48,8.89,36.97,0.0,0.0,0.0,0.0,0.0,804,11889.0,360610008003,1002760054.0,"47 CATHERINE STREET New York, NY 10038",0.25
